Altium Designer Pick and Place Locations
D:\GitHub\Atlas_Project\Hardware\AltiumProject\ControlBoard\Project Outputs for Глобус_LDI\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       26.09.20
Time:       23:51
Revision:   7bfeddd466d37cbd230241c0a16565742ed7e656
Variant:    No variations
Units used: mm

Designator Center-X(mm) Center-Y(mm) Rotation 
VD11       36,9419      36,7250      180      
VD10       36,9500      41,2000      180      
VD9        36,9500      43,5000      180      
VD8        36,9500      45,7250      180      
R28        41,8000      36,7250      360      
R27        41,8000      41,2000      360      
R26        41,8000      43,5000      360      
R25        41,8000      45,7250      360      
R24        57,1000      10,9000      360      
C37        55,5000      5,3000       90       
R10        4,5000       56,8500      90       
Z2         13,4500      24,0500      90       
Z1         48,0000      5,3000       180      
X7         93,1250      44,1625      90       
X6         83,5000      29,0000      180      
X5         83,2100      71,2500      180      
X4         67,7500      29,0000      180      
X3         4,4550       29,4150      270      
X2         19,0500      5,3500       90       
X1         34,9300      4,0000       360      
VD7        58,0000      51,2125      90       
VD6        58,0000      38,8625      90       
VD5        37,0500      52,7500      90       
VD4        52,4500      69,2500      270      
VD3        27,8000      20,2000      90       
VD2        30,7000      20,2000      90       
VD1        36,9500      39,0250      180      
U1         83,5000      13,5000      360      
R23        73,0500      48,9750      180      
R22        73,0500      51,2250      180      
R21        73,0500      53,7250      180      
R20        86,5500      43,7250      90       
R19        73,0500      36,2250      180      
R18        73,0500      38,7250      180      
R17        73,0500      41,2250      180      
R16        66,1500      63,3500      270      
R15        60,1500      60,3500      270      
R14        66,1500      59,3500      360      
R13        63,7500      74,5000      360      
R12        70,1500      64,7500      180      
R11        57,6500      60,3500      270      
R9         25,5750      40,9000      270      
R8         27,7000      13,9000      90       
R7         25,9000      31,3000      270      
R6         30,7000      13,9000      90       
R5         41,8000      39,0250      360      
R4         44,7500      15,5000      360      
R3         38,9000      14,1000      360      
R2         38,9000      16,4000      360      
R1         57,1000      16,2000      360      
L2         33,6000      62,7000      180      
L1         45,3000      62,7000      180      
J1         67,0000      4,0000       360      
D11        81,3000      51,2250      90       
D10        63,0500      51,2250      90       
D9         81,3000      38,7250      90       
D8         63,0500      38,7250      90       
D7         28,8300      52,7250      270      
D6         62,0000      69,2500      90       
D5         14,4750      72,6750      270      
D4         17,5000      43,4000      180      
D3         23,0000      26,0000      180      
D2         35,5000      27,5625      180      
D1         48,5000      15,5000      90       
C36        68,3000      38,7250      90       
C35        54,0500      51,2250      90       
C34        86,5500      47,7250      270      
C33        68,3000      51,2250      90       
C32        54,3000      38,7250      90       
C31        66,0000      14,2500      270      
C30        90,8000      23,4000      180      
C29        24,2000      60,5000      270      
C28        20,2500      54,5000      360      
C27        34,2000      51,5000      90       
C26        71,5000      73,2500      270      
C25        44,7500      74,2500      90       
C24        57,5500      76,2500      180      
C23        62,6500      60,3500      90       
C22        15,7500      62,2500      180      
C21        13,4750      56,3500      180      
C20        38,5000      72,2500      90       
C19        32,8250      70,0000      90       
C18        55,7500      68,2500      270      
C17        57,5000      29,0000      360      
C16        45,8000      52,9000      90       
C15        44,0000      33,9000      180      
C14        44,5000      28,8000      270      
C13        41,8000      28,1000      90       
C12        16,5000      32,0000      180      
C11        21,5000      32,0000      360      
C10        17,9000      15,5000      270      
C9         12,8000      30,2000      270      
C8         22,2000      16,5000      0        
C7         12,8000      17,9000      90       
C6         52,9000      5,3000       270      
C5         44,7500      13,2500      360      
C4         43,1000      5,3000       270      
C3         52,2500      17,7500      180      
C2         46,2500      19,2500      270      
C1         49,2500      11,7540      90       
